"","Home ID","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
"66",1610612744,10,123,110,3.5,13,16,8,0.5,0.443,0.391304348,0.325581395,4,16
"67",1610612751,10,125,129,NA,-4,13,7,0.462,0.506,0.342857143,0.5,10,8
"68",1610612758,10,110,125,-2,-15,9,11,0.482,0.533,0.315789474,0.424242424,5,5
"69",1610612760,10,118,110,-4,8,13,10,0.495,0.537,0.447368421,0.321428571,10,6
"70",1610612738,11,123,132,9.5,-9,5,9,0.512,0.517,0.393939394,0.457142857,9,5
"71",1610612743,11,117,101,7,16,17,8,0.459,0.418,0.459459459,0.256410256,2,7
"72",1610612749,11,119,108,4.5,11,19,13,0.385,0.398,0.288888889,0.342857143,8,6
"73",1610612750,11,111,102,10,9,14,12,0.414,0.416,0.325,0.310344828,13,8
"74",1610612753,11,113,93,-1.5,20,5,10,0.494,0.384,0.27027027,0.289473684,8,3
"75",1610612756,11,124,111,7,13,14,9,0.522,0.442,0.303030303,0.405405405,7,10
"76",1610612757,11,125,111,6,14,11,13,0.533,0.426,0.371428571,0.368421053,9,10
"77",1610612759,11,129,124,NA,5,8,15,0.535,0.475,0.421052632,0.333333333,7,13
"78",1610612761,11,90,112,5,-22,15,7,0.384,0.524,0.230769231,0.421052632,9,11
"79",1610612764,11,117,127,3,-10,9,5,0.477,0.506,0.4,0.517241379,5,4
"80",1610612765,11,112,136,-5.5,-24,14,10,0.43,0.567,0.21875,0.413793103,2,5
"81",1610612741,12,109,114,-2,-5,9,8,0.45,0.494,0.35483871,0.482758621,7,8
"82",1610612742,12,111,117,11.5,-6,12,9,0.4,0.494,0.2,0.2,8,9
"83",1610612749,12,123,115,3,8,14,12,0.489,0.479,0.388888889,0.448275862,8,5
"84",1610612751,12,116,125,8.5,-9,6,17,0.5,0.426,0.358974359,0.5,6,7
"85",1610612758,12,119,113,-3,6,6,9,0.553,0.427,0.451612903,0.392857143,1,7
"86",1610612762,12,124,123,-1.5,1,10,10,0.517,0.568,0.431818182,0.444444444,8,11
"87",1610612766,12,120,113,-6,7,15,10,0.422,0.44,0.322580645,0.295454545,2,8
"88",1610612738,13,112,94,10.5,18,4,15,0.456,0.388,0.446808511,0.21875,4,5
"89",1610612739,13,121,108,2,13,10,12,0.461,0.489,0.46,0.37037037,3,9
"90",1610612742,13,114,105,12.5,9,5,11,0.494,0.457,0.314285714,0.379310345,10,2
"91",1610612746,13,91,112,1,-21,8,12,0.419,0.495,0.282051282,0.416666667,3,9
"92",1610612747,13,121,110,-2.5,11,13,13,0.479,0.427,0.433333333,0.375,5,3
