Game_id,Day,Home_ID,Away_ID,Home_pts,Away_pts,Spread,Home_oreb,Away_oreb,Home_FGPct,Away_FGPct,Home_3Pct,Away_3Pct,Home_Steals,Away_Steals,Home_TPG,Away_TPG,Home_TSG,Away_TSG,Home_TOG,Away_TOG,Home_PPG,Away_PPG,Home_SPG,Away_STG,Home_OPG,Away_OPG
22200042,6,1610612744,1610612758,130,125,5,6,13,0.517,0.47,0.424242424,0.255813953,7,10,246,214,21,15,18,15,68.66666667,76,8.333333333,6.333333333,5.666666667,8
22200041,6,1610612760,1610612750,106,116,-10,11,12,0.436,0.523,0.219512195,0.294117647,7,9,225,241,16,11,26,35,82,71.33333333,7,5,6,5
22200040,6,1610612740,1610612762,121,122,-1,14,15,0.471,0.439,0.296296296,0.342105263,8,13,254,255,18,21,36,30,75,80.33333333,5.333333333,3.666666667,8.666666667,11.66666667
22200039,6,1610612739,1610612764,117,107,10,16,4,0.427,0.494,0.393939394,0.428571429,10,9,233,216,9,13,14,19,84.66666667,85,6,7,12,10
22200038,6,1610612737,1610612766,109,126,-17,16,14,0.411,0.522,0.228571429,0.423076923,8,7,225,241,22,16,13,25,77.66666667,72,3,4.333333333,4.666666667,6.333333333
22200047,7,1610612741,1610612738,120,102,18,14,14,0.483,0.37,0.476190476,0.375,4,5,312,363,32,17,32,25,75,80.33333333,7.333333333,5.333333333,4.333333333,8.333333333
22200046,7,1610612752,1610612753,115,102,13,18,13,0.462,0.419,0.297297297,0.2,7,6,242,327,11,19,29,32,78,90.75,8,4.25,8,6.25
22200044,7,1610612755,1610612754,120,106,14,7,14,0.475,0.422,0.441860465,0.272727273,8,3,310,365,20,22,22,46,80.66666667,81.75,3.666666667,4.75,9.666666667,8
22200051,7,1610612757,1610612743,135,110,25,9,10,0.578,0.495,0.457142857,0.387096774,3,4,334,352,25,25,37,31,77.5,91.25,5,5.5,5.5,11.5
22200050,7,1610612750,1610612759,106,115,-9,10,14,0.442,0.457,0.258064516,0.324324324,7,11,357,353,20,22,47,33,83.5,88,6.25,6.25,9.25,7.75
22200045,7,1610612748,1610612761,90,98,-8,8,10,0.349,0.395,0.235294118,0.4375,5,6,324,322,16,33,25,28,89.25,88.25,5,5.5,11.75,8.25
22200048,7,1610612745,1610612762,114,108,6,17,18,0.422,0.473,0.314285714,0.34375,7,8,334,377,17,34,43,45,81,80.5,4,8.25,6.25,7
22200049,7,1610612763,1610612751,134,124,10,12,9,0.5,0.54,0.470588235,0.310344828,7,4,340,217,18,13,43,22,83.5,94.25,4.25,8.5,10.75,11.25
22200053,8,1610612740,1610612742,113,111,2,4,11,0.579,0.5,0.444444444,0.307692308,7,8,375,242,26,13,50,20,85,72.33333333,4.5,4.333333333,10.75,7.333333333
22200055,8,1610612756,1610612744,134,105,29,14,10,0.511,0.451,0.413793103,0.285714286,8,7,330,376,23,28,30,24,93.75,80.66666667,6.5,4.333333333,12.5,6.666666667
22200054,8,1610612760,1610612746,108,94,14,21,7,0.382,0.422,0.133333333,0.322580645,12,5,331,309,23,25,37,24,82.5,94,5.75,7,7.5,6
22200052,8,1610612764,1610612765,120,99,21,9,11,0.518,0.409,0.303030303,0.285714286,7,6,323,334,22,22,23,42,82.75,77.25,5.75,6.25,9.25,6
22200064,9,1610612743,1610612747,110,99,11,9,7,0.457,0.444,0.264705882,0.266666667,12,8,462,310,29,34,41,27,80.75,83.5,5.5,5.5,5.75,10.5
22200060,9,1610612749,1610612751,110,99,11,14,7,0.443,0.395,0.277777778,0.259259259,8,7,215,341,10,17,15,31,92.4,77.5,5.8,8.5,8.2,6.75
22200056,9,1610612739,1610612753,103,92,11,12,10,0.414,0.432,0.303030303,0.25,6,6,350,429,19,25,30,45,71.66666667,85.25,3.333333333,4.25,5,7.75
22200061,9,1610612741,1610612754,124,109,15,9,6,0.494,0.43,0.533333333,0.4,10,5,432,471,36,25,46,60,87.5,85.8,4.75,5,7.5,9
22200065,9,1610612757,1610612748,98,119,-21,11,15,0.436,0.506,0.324324324,0.394736842,9,13,469,414,28,21,46,33,86.4,94.2,7.2,5,9.2,12
22200062,9,1610612750,1610612759,134,122,12,0,14,0.65,0.453,0.588235294,0.444444444,9,6,463,468,27,33,57,47,93.8,82.8,5.6,4.2,9.2,6.6
22200059,9,1610612761,1610612755,119,109,10,6,4,0.548,0.506,0.432432432,0.444444444,9,6,420,430,39,28,38,29,92.6,93.6,5.4,6.6,11.4,9.4
22200063,9,1610612762,1610612745,109,101,8,11,14,0.422,0.383,0.288888889,0.275,11,7,485,448,42,24,63,60,84,86,7.8,5.6,7.6,5.8
22200057,9,1610612765,1610612737,113,118,-5,10,10,0.462,0.495,0.4375,0.363636364,4,6,433,334,28,30,53,29,97,89.6,8.4,4.8,12.6,12
