"Game_id","Day","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
22200048,7,1610612745,1610612762,114,108,6,17,18,0.422,0.473,0.314285714285714,0.34375,7,8
22200052,8,1610612764,1610612765,120,99,21,9,11,0.518,0.409,0.303030303030303,0.285714285714286,7,6
22200054,8,1610612760,1610612746,108,94,14,21,7,0.382,0.422,0.133333333333333,0.32258064516129,12,5
22200053,8,1610612740,1610612742,113,111,2,4,11,0.579,0.5,0.444444444444444,0.307692307692308,7,8
22200055,8,1610612756,1610612744,134,105,29,14,10,0.511,0.451,0.413793103448276,0.285714285714286,8,7
22200060,9,1610612749,1610612751,110,99,11,14,7,0.443,0.395,0.277777777777778,0.259259259259259,8,7
22200061,9,1610612741,1610612754,124,109,15,9,6,0.494,0.43,0.533333333333333,0.4,10,5
22200057,9,1610612765,1610612737,113,118,-5,10,10,0.462,0.495,0.4375,0.363636363636364,4,6
22200063,9,1610612762,1610612745,109,101,8,11,14,0.422,0.383,0.288888888888889,0.275,11,7
22200065,9,1610612757,1610612748,98,119,-21,11,15,0.436,0.506,0.324324324324324,0.394736842105263,9,13
22200062,9,1610612750,1610612759,134,122,12,0,14,0.65,0.453,0.588235294117647,0.444444444444444,9,6
22200064,9,1610612743,1610612747,110,99,11,9,7,0.457,0.444,0.264705882352941,0.266666666666667,12,8
22200056,9,1610612739,1610612753,103,92,11,12,10,0.414,0.432,0.303030303030303,0.25,6,6
22200059,9,1610612761,1610612755,119,109,10,6,4,0.548,0.506,0.432432432432432,0.444444444444444,9,6
22200058,9,1610612752,1610612766,134,131,3,12,9,0.536,0.495,0.366666666666667,0.419354838709677,5,9
22200067,10,1610612760,1610612746,118,110,8,13,10,0.495,0.537,0.447368421052632,0.321428571428571,10,6
22200068,10,1610612744,1610612748,123,110,13,16,8,0.5,0.443,0.391304347826087,0.325581395348837,4,16
22200069,10,1610612758,1610612763,110,125,-15,9,11,0.482,0.533,0.315789473684211,0.424242424242424,5,5
22200066,10,1610612751,1610612742,125,129,-4,13,7,0.462,0.506,0.342857142857143,0.5,10,8
22200076,11,1610612750,1610612747,111,102,9,14,12,0.414,0.416,0.325,0.310344827586207,13,8
22200077,11,1610612759,1610612741,129,124,5,8,15,0.535,0.475,0.421052631578947,0.333333333333333,7,13
22200079,11,1610612756,1610612740,124,111,13,14,9,0.522,0.442,0.303030303030303,0.405405405405405,7,10
22200070,11,1610612765,1610612737,112,136,-24,14,10,0.43,0.567,0.21875,0.413793103448276,2,5
22200073,11,1610612761,1610612755,90,112,-22,15,7,0.384,0.524,0.230769230769231,0.421052631578947,9,11
22200074,11,1610612764,1610612754,117,127,-10,9,5,0.477,0.506,0.4,0.517241379310345,5,4
22200072,11,1610612738,1610612739,123,132,-9,5,9,0.512,0.517,0.393939393939394,0.457142857142857,9,5
22200075,11,1610612749,1610612752,119,108,11,19,13,0.385,0.398,0.288888888888889,0.342857142857143,8,6
22200078,11,1610612743,1610612762,117,101,16,17,8,0.459,0.418,0.459459459459459,0.256410256410256,2,7
22200080,11,1610612757,1610612745,125,111,14,11,13,0.533,0.426,0.371428571428571,0.368421052631579,9,10
22200071,11,1610612753,1610612766,113,93,20,5,10,0.494,0.384,0.27027027027027,0.289473684210526,8,3
22200087,12,1610612762,1610612763,124,123,1,10,10,0.517,0.568,0.431818181818182,0.444444444444444,8,11
22200082,12,1610612766,1610612744,120,113,7,15,10,0.422,0.44,0.32258064516129,0.295454545454545,2,8
22200084,12,1610612741,1610612755,109,114,-5,9,8,0.45,0.494,0.354838709677419,0.482758620689655,7,8
22200081,12,1610612758,1610612748,119,113,6,6,9,0.553,0.427,0.451612903225806,0.392857142857143,1,7
22200083,12,1610612751,1610612754,116,125,-9,6,17,0.5,0.426,0.358974358974359,0.5,6,7
22200085,12,1610612749,1610612737,123,115,8,14,12,0.489,0.479,0.388888888888889,0.448275862068966,8,5
22200086,12,1610612742,1610612760,111,117,-6,12,9,0.4,0.494,0.2,0.2,8,9
22200088,13,1610612746,1610612740,91,112,-21,8,12,0.419,0.495,0.282051282051282,0.416666666666667,3,9
22200090,13,1610612739,1610612752,121,108,13,10,12,0.461,0.489,0.46,0.37037037037037,3,9
22200092,13,1610612759,1610612750,107,98,9,14,16,0.419,0.404,0.4,0.137931034482759,6,11
22200093,13,1610612742,1610612753,114,105,9,5,11,0.494,0.457,0.314285714285714,0.379310344827586,10,2
22200091,13,1610612765,1610612744,128,114,14,12,13,0.482,0.424,0.424242424242424,0.307692307692308,4,8
22200094,13,1610612756,1610612745,124,109,15,10,17,0.536,0.437,0.3,0.323529411764706,9,7
22200095,13,1610612747,1610612743,121,110,11,13,13,0.479,0.427,0.433333333333333,0.375,5,3
22200089,13,1610612738,1610612764,112,94,18,4,15,0.456,0.388,0.446808510638298,0.21875,4,5
22200102,14,1610612746,1610612745,95,93,2,8,7,0.425,0.386,0.25,0.285714285714286,7,9
22200096,14,1610612766,1610612758,108,115,-7,6,10,0.512,0.435,0.482758620689655,0.386363636363636,11,8
22200098,14,1610612751,1610612754,116,109,7,6,10,0.538,0.471,0.366666666666667,0.282051282051282,11,11
22200097,14,1610612764,1610612755,111,118,-7,9,4,0.469,0.554,0.4,0.4,8,14
22200100,14,1610612749,1610612765,110,108,2,14,13,0.437,0.446,0.275,0.275862068965517,5,9
22200101,14,1610612762,1610612763,121,105,16,11,18,0.472,0.413,0.404255319148936,0.230769230769231,10,8
22200099,14,1610612761,1610612737,139,109,30,12,7,0.5,0.464,0.411764705882353,0.379310344827586,13,1
22200106,15,1610612756,1610612750,116,107,9,7,10,0.461,0.425,0.395348837209302,0.382352941176471,9,5
22200105,15,1610612760,1610612753,116,108,8,8,12,0.474,0.448,0.294117647058824,0.344827586206897,13,7
22200103,15,1610612751,1610612741,99,108,-9,4,11,0.486,0.438,0.375,0.4,4,8
22200104,15,1610612748,1610612744,116,109,7,9,10,0.455,0.464,0.380952380952381,0.36734693877551,7,8
22200114,16,1610612759,1610612761,100,143,-43,13,9,0.394,0.538,0.325581395348837,0.424242424242424,3,16
22200108,16,1610612755,1610612764,111,121,-10,6,7,0.464,0.577,0.527777777777778,0.238095238095238,3,4
22200109,16,1610612748,1610612758,110,107,3,9,4,0.494,0.477,0.323529411764706,0.361111111111111,5,4
22200113,16,1610612749,1610612765,116,91,25,15,2,0.467,0.418,0.263157894736842,0.354838709677419,17,7
22200107,16,1610612739,1610612738,114,113,1,9,8,0.42,0.409,0.282051282051282,0.268292682926829,6,5
22200111,16,1610612741,1610612766,106,88,18,11,13,0.432,0.391,0.451612903225806,0.21875,6,12
22200112,16,1610612745,1610612746,101,109,-8,16,9,0.42,0.488,0.289473684210526,0.363636363636364,9,10
22200115,16,1610612742,1610612762,103,100,3,7,12,0.5,0.464,0.289473684210526,0.333333333333333,9,6
22200110,16,1610612752,1610612737,99,112,-13,12,17,0.411,0.411,0.277777777777778,0.352941176470588,3,11
22200116,16,1610612757,1610612763,106,111,-5,16,10,0.404,0.458,0.393939393939394,0.464285714285714,5,7
