"Away ID","Home ID","Spread_Pred"
1610612743,1610612751,-0.5
1610612756,1610612760,NA
1610612737,1610612759,-7
1610612748,1610612765,-6.5
1610612740,1610612745,-3.5
1610612761,1610612749,6.5
1610612746,1610612757,0.5
1610612753,1610612747,7
1610612741,1610612755,7.5
1610612754,1610612766,0.5
1610612750,1610612752,4
1610612742,1610612763,4.5
1610612744,1610612745,-8.5
1610612758,1610612762,1
1610612764,1610612753,NA
1610612739,1610612751,-1
1610612765,1610612737,11.5
1610612759,1610612740,9.5
1610612738,1610612758,-3.5
1610612760,1610612746,5
1610612743,1610612764,-4
1610612744,1610612742,2
1610612754,1610612761,7.5
1610612752,1610612748,1
1610612737,1610612750,5.5
1610612745,1610612763,13.5
1610612755,1610612741,-2
1610612759,1610612749,17
1610612757,1610612762,4
1610612756,1610612747,2.5
1610612752,1610612753,-1.5
1610612739,1610612751,-1
1610612766,1610612740,7
1610612760,1610612746,5
1610612754,1610612738,9.5
1610612759,1610612764,9.5
1610612765,1610612761,13
1610612745,1610612763,13.5
1610612766,1610612742,11
1610612749,1610612762,-3.5
1610612741,1610612757,NA
1610612755,1610612744,-0.5
1610612756,1610612758,2.5
1610612760,1610612747,6.5
1610612754,1610612737,7.5
1610612751,1610612748,5
1610612749,1610612743,4.5
1610612755,1610612756,-1.5
1610612762,1610612758,6
1610612740,1610612746,4.5
1610612742,1610612766,-4
1610612741,1610612747,3.5
1610612751,1610612753,2
1610612745,1610612739,13.5
1610612763,1610612737,-1
1610612759,1610612738,15
1610612764,1610612761,6
1610612760,1610612757,2
1610612750,1610612744,3.5
1610612742,1610612754,NA
1610612749,1610612765,-10
1610612745,1610612752,14.5
1610612756,1610612762,0.5
1610612755,1610612743,3
1610612750,1610612758,3
1610612740,1610612757,-0.5
1610612741,1610612746,5
1610612738,1610612764,-3
1610612739,1610612737,0.5
1610612748,1610612761,3.5
1610612766,1610612760,6
1610612753,1610612763,8.5
1610612740,1610612744,7.5
1610612749,1610612754,-5
1610612742,1610612755,5.5
1610612745,1610612751,9.5
1610612748,1610612752,5.5
1610612765,1610612760,7.5
1610612746,1610612763,3.5
1610612747,1610612741,2
1610612762,1610612759,-2
1610612750,1610612756,1.5
1610612758,1610612757,-0.5
1610612738,1610612749,1
1610612740,1610612743,8.5
1610612741,1610612766,-3.5
1610612760,1610612754,2
1610612753,1610612764,5
1610612761,1610612755,5.5
1610612737,1610612751,1.5
1610612752,1610612739,3
1610612762,1610612738,9
1610612765,1610612745,2.5
1610612746,1610612763,5
1610612747,1610612750,3.5
1610612759,1610612744,13
1610612758,1610612757,NA
1610612743,1610612756,2
1610612742,1610612748,2
1610612746,1610612740,3
1610612761,1610612766,-5
1610612763,1610612741,0.5
1610612757,1610612750,7
1610612762,1610612751,4.5
1610612742,1610612737,2.5
1610612765,1610612753,7.5
1610612759,1610612758,10
1610612764,1610612752,6
1610612747,1610612745,-6
1610612756,1610612760,-0.5
1610612754,1610612739,8.5
1610612755,1610612749,3
1610612744,1610612743,5
1610612739,1610612753,-3.5
1610612748,1610612765,-7
1610612749,1610612764,-3.5
1610612761,1610612766,-5
1610612750,1610612751,-0.5
1610612737,1610612741,3.5
1610612738,1610612755,2.5
1610612743,1610612745,-9
1610612757,1610612763,7.5
1610612758,1610612740,2
1610612747,1610612762,NA
1610612760,1610612744,7.5
1610612759,1610612756,11.5
1610612751,1610612765,-4.5
