Away,Home,Spread_Pred
Timberwolves,Magic,-7
Thunder,Wizards,3.5
Celtics,Hawks,-0.5
Heat,Raptors,5
Bulls,Pelicans,3.5
Cavaliers,Bucks,1
Rockets,Mavericks,8.5
Warriors,Suns,1.5
Knicks,Nuggets,4
Grizzlies,Pelicans,2
Clippers,Mavericks,8
Knicks,Jazz,6
Nets,Kings,1
Spurs,Trail Blazers,4.5
Hornets,Magic,-1
Raptors,Pistons,-3
Thunder,Celtics,13.5
Suns,Heat,3.5
Hawks,Bucks,2
Clippers,Rockets,-5
Spurs,Warriors,7
Thunder,Knicks,7
Grizzlies,Wizards,-1.5
Timberwolves,Cavaliers,#N/A
Jazz,76ers,3
Nuggets,Bulls,#N/A
Warriors,Kings,-1.5
Nets,Lakers,-0.5
Nets,Clippers,3
Jazz,Wizards,-4
Celtics,Pistons,-9
Raptors,Pacers,1.5
Hawks,76ers,1.5
Hornets,Heat,6.5
Rockets,Pelicans,12
Trail Blazers,Mavericks,9.5
Nuggets,Celtics,5
Suns,Magic,-5
Pistons,Knicks,8.5
Bucks,Spurs,3.5
Raptors,Thunder,-5.5
Timberwolves,Grizzlies,5
Cavaliers,Warriors,2.5
Kings,Lakers,0.5
Mavericks,Wizards,-6
Hornets,Heat,9.5
76ers,Hawks,0.5
Trail Blazers,Pelicans,12
Mavericks,Magic,-8
Nuggets,Pacers,-2
Trail Blazers,Hornets,3.5
Pistons,Celtics,13.5
Rockets,Raptors,13.5
Knicks,Nets,2
Jazz,Hawks,3
Grizzlies,Spurs,-3
Bucks,Thunder,2
Pelicans,Bulls,#N/A
Suns,Timberwolves,2.5
Cavaliers,Kings,-2.5
Lakers,Clippers,5
Wizards,Hornets,6
Rockets,Magic,5
Thunder,Pistons,0.5
Pelicans,Pacers,-1
Suns,76ers,2.5
Bucks,Hawks,0.5
Trail Blazers,Heat,8.5
Raptors,Bulls,-2.5
Celtics,Grizzlies,-1
Knicks,Timberwolves,3.5
Nuggets,Spurs,-3.5
Nets,Mavericks,6.5
Kings,Warriors,7
Lakers,Jazz,10.5
Cavaliers,Clippers,#N/A
Cavaliers,Lakers,-2.5
Bulls,Raptors,7.5
Wizards,Grizzlies,11
Jazz,Clippers,2
Kings,Magic,-1.5
Nets,Hornets,1
Celtics,Knicks,-2
Pelicans,Hawks,4.5
Rockets,Timberwolves,9.5
Thunder,Bucks,5.5
Spurs,Nuggets,12
Trail Blazers,Suns,12.5
Nets,Wizards,2
Cavaliers,Pistons,#N/A
Heat,Pacers,-0.5
Knicks,76ers,4
Bulls,Celtics,8.5
Hornets,Grizzlies,10.5
Clippers,Spurs,1
Warriors,Pelicans,15
Raptors,Mavericks,3.5
Bucks,Timberwolves,1
Trail Blazers,Suns,13
Jazz,Lakers,#N/A
Warriors,Magic,-6.5
Nuggets,Thunder,-4.5
Wizards,76ers,6.5
Hawks,Knicks,1.5
Celtics,Cavaliers,-0.5
Kings,Heat,5
Hornets,Bulls,2.5
Pistons,Bucks,12
Clippers,Rockets,-4.5
Raptors,Spurs,-4
Jazz,Mavericks,6
Grizzlies,Trail Blazers,-3.5
Pelicans,Lakers,-0.5
Bulls,Nets,3
Warriors,Heat,2.5
Magic,Thunder,4.5
Timberwolves,Suns,4
76ers,Wizards,-4
Kings,Hornets,3
Hawks,Raptors,2
Pacers,Nets,5.5
Pistons,Bucks,14
Grizzlies,Jazz,1.5
Rockets,Clippers,10
Pelicans,Clippers,1
Warriors,Pistons,-4.5
Knicks,Cavaliers,2
Wizards,Celtics,10.5
Timberwolves,Spurs,-5
Magic,Mavericks,12.5
Rockets,Suns,14
Nuggets,Lakers,-2.5
Heat,Kings,-3
Warriors,Hornets,-6
Pacers,Nets,8.5
Hawks,Bucks,3
76ers,Bulls,-2
Grizzlies,Jazz,-1.5
Thunder,Mavericks,11.5
Hawks,Pistons,-5.5
Hornets,Magic,-1.5
Cavaliers,Celtics,9.5
Pacers,Wizards,3
76ers,Raptors,5
Lakers,Timberwolves,10
Knicks,Bucks,4.5
Bulls,Spurs,#N/A
Jazz,Nuggets,7
Rockets,Trail Blazers,6
Pelicans,Suns,7
Mavericks,Nets,#N/A
Clippers,Thunder,-4
Grizzlies,Kings,-2
Heat,Warriors,3.5
Hawks,Pistons,-7.5
Magic,Cavaliers,9.5
Nets,Bucks,3
Hornets,Knicks,8
76ers,Raptors,2.5
Pacers,Bulls,4.5
Spurs,Timberwolves,8.5
Rockets,Jazz,13
Heat,Trail Blazers,-1.5
Lakers,Nuggets,7.5
Pistons,Wizards,7.5
Mavericks,Pelicans,-0.5
Clippers,Thunder,-2
Warriors,Suns,3.5
Pacers,76ers,9
Magic,Knicks,11.5
Raptors,Heat,4
Nets,Grizzlies,2.5
Celtics,Bulls,-5
Spurs,Timberwolves,7
Jazz,Rockets,-5.5
Nuggets,Trail Blazers,-4
Trail Blazers,Lakers,1.5
Hornets,Hawks,10
Jazz,Pelicans,4
Wizards,Cavaliers,2.5
Timberwolves,Thunder,-9
Kings,Warriors,9.5
Suns,Clippers,#N/A
Spurs,76ers,11
Celtics,Magic,-11
Pistons,Pacers,6.5
Cavaliers,Bulls,0.5
Rockets,Bucks,14.5
Raptors,Heat,4
Grizzlies,Mavericks,6
Thunder,Nuggets,12
Clippers,Kings,-1
Bulls,Wizards,1.5
Pelicans,Hornets,-1.5
Spurs,Pacers,3.5
Celtics,Heat,1
Pistons,Knicks,11
Magic,Hawks,13
Raptors,Nets,1.5
Grizzlies,Rockets,-8
Jazz,Timberwolves,6.5
Nuggets,Warriors,3
Suns,Trail Blazers,-2
Bucks,76ers,4
Clippers,Lakers,-3
Magic,Pistons,1.5
Wizards,Pacers,2.5
Bulls,Heat,8.5
Cavaliers,Raptors,4
Rockets,Hawks,15
Pelicans,Nets,4.5
Knicks,Grizzlies,5
Hornets,Spurs,1.5
Thunder,Timberwolves,12.5
Nuggets,Jazz,-1
Mavericks,Suns,2.5
Trail Blazers,Kings,1
76ers,Celtics,4.5
Lakers,Warriors,7.5
