Away,Home,Spread_Pred
Cavaliers,Heat,2
Nuggets,Spurs,-9
Raptors,Lakers,#N/A
Hornets,Pistons,-2
Rockets,Pacers,9.5
Jazz,Magic,5
Warriors,Grizzlies,1.5
Nets,Bucks,10.5
Knicks,Kings,#N/A
Hawks,Wizards,#N/A
Cavaliers,Heat,0.5
Mavericks,Pelicans,-2
Trail Blazers,Celtics,10
Bulls,Nuggets,10
Thunder,Suns,13
Raptors,Clippers,0.5
Bucks,Magic,-1.5
Wizards,Pistons,-12.5
Hornets,Knicks,11
76ers,Timberwolves,4
Nets,Rockets,-5
Warriors,Thunder,-1.5
Jazz,Mavericks,12.5
Grizzlies,Lakers,-1
Celtics,Cavaliers,4.5
76ers,Pacers,-6.5
Trail Blazers,Pistons,#N/A
Hawks,Heat,2.5
Raptors,Nuggets,7
Pelicans,Kings,3
Suns,Mavericks,3
Pacers,Bulls,5
Warriors,Lakers,-1.5
Hornets,Nets,7.5
Trail Blazers,Magic,3.5
Spurs,Rockets,5
Jazz,Thunder,4.5
Bucks,Wizards,-1
Knicks,Celtics,6
Grizzlies,Clippers,2
Raptors,Wizards,0.5
Pistons,Cavaliers,15
Hawks,Heat,2.5
Rockets,Spurs,3.5
76ers,Bucks,4
Timberwolves,Kings,1.5
Magic,Hornets,-0.5
Nets,Celtics,9
Trail Blazers,Hawks,8
Knicks,Heat,1
Suns,Bulls,#N/A
Jazz,Thunder,1
Clippers,Kings,6
Grizzlies,Nuggets,5
Pelicans,Warriors,3
Timberwolves,Lakers,-1
Raptors,Wizards,#N/A
76ers,Mavericks,3.5
Pacers,Spurs,-2
Clippers,Warriors,-0.5
Bulls,Pistons,-4
Suns,Hornets,-4.5
Nets,Knicks,7
Cavaliers,Celtics,4.5
76ers,Heat,3
Lakers,Thunder,2.5
Grizzlies,Rockets,-10
Magic,Bucks,7.5
Pelicans,Trail Blazers,0.5
Bulls,Raptors,5
Lakers,Grizzlies,8
Bucks,Nets,-1
Wizards,Hawks,6.5
Nuggets,Rockets,-12.5
Kings,Thunder,1
Pacers,Mavericks,7
Spurs,Jazz,11
Timberwolves,Clippers,2.5
Trail Blazers,Warriors,5
Pistons,Hornets,8
Heat,76ers,5.5
Celtics,Knicks,#N/A
Magic,Pelicans,4.5
Suns,Bucks,4.5
Nets,Hawks,4.5
Lakers,Mavericks,4.5
Wizards,Bulls,4
Raptors,Cavaliers,6.5
Kings,Thunder,1
Timberwolves,Warriors,-1
Rockets,Trail Blazers,9
Clippers,Nuggets,4.5
Raptors,Pistons,-5.5
Pacers,Magic,3
Heat,Hornets,-1.5
Pelicans,Knicks,3.5
Nuggets,Grizzlies,2.5
Celtics,76ers,1.5
Spurs,Jazz,12.5
Knicks,Wizards,1
Cavaliers,Hawks,2.5
Heat,Bucks,5
Nets,Bulls,1
Hornets,Timberwolves,9
Rockets,Warriors,7.5
Thunder,Suns,8
Kings,Clippers,6
Celtics,Pacers,-5
Nuggets,Cavaliers,4
Pistons,Magic,7.5
Grizzlies,76ers,2.5
Pelicans,Raptors,5.5
Spurs,Mavericks,17.5
Thunder,Jazz,3
Warriors,Lakers,4.5
Trail Blazers,Kings,14
Bucks,Bulls,-6.5
Wizards,Timberwolves,3.5
Clippers,Suns,2
Bulls,Pacers,1.5
Spurs,Hornets,7.5
Cavaliers,76ers,2.5
Pistons,Celtics,13
Heat,Nets,2
Knicks,Hawks,3.5
Rockets,Thunder,10
Jazz,Grizzlies,12
Mavericks,Nuggets,5.5
Pelicans,Lakers,2.5
Celtics,Bucks,5
Magic,Raptors,9
Kings,Suns,3
Warriors,Clippers,5.5
Wizards,Trail Blazers,0.5
Hawks,Hornets,-3.5
Rockets,76ers,15.5
Spurs,Cavaliers,18
Jazz,Pacers,2.5
Nets,Knicks,3
Nuggets,Heat,1.5
Pelicans,Thunder,1.5
Magic,Bulls,4.5
Timberwolves,Mavericks,5
Lakers,Trail Blazers,1
Wizards,Warriors,2.5
Grizzlies,Celtics,1.5
Pistons,Raptors,12.5
76ers,Nets,1
Nuggets,Hornets,-4
Pacers,Wizards,6.5
Heat,Magic,#N/A
Spurs,Hawks,15.5
Jazz,Knicks,6.5
Bulls,Cavaliers,5
Lakers,Warriors,4
Mavericks,Kings,-1
Knicks,76ers,5.5
Suns,Pacers,3
Spurs,Pistons,10
Hornets,Celtics,12
Jazz,Raptors,10
Rockets,Heat,14.5
Timberwolves,Grizzlies,5.5
Cavaliers,Pelicans,-0.5
Mavericks,Kings,2.5
Thunder,Trail Blazers,3
Bucks,Clippers,0.5
Nuggets,Magic,-2.5
Bulls,Nets,#N/A
Suns,Hawks,7.5
Bucks,Lakers,-3
Hornets,Wizards,5.5
Pistons,Cavaliers,8.5
Pacers,Heat,6.5
76ers,Celtics,3.5
Spurs,Raptors,13.5
Kings,Rockets,-6.5
Timberwolves,Jazz,8.5
Mavericks,Clippers,3
Warriors,Trail Blazers,1.5
Knicks,Magic,-1
Hawks,Pelicans,1
Suns,Nets,-4.5
Bulls,Grizzlies,9
Timberwolves,Nuggets,6.5
Thunder,Lakers,5.5
Celtics,Pistons,-8
Cavaliers,Wizards,0.5
Clippers,Nets,-1
Spurs,Bulls,11
Kings,Rockets,-4.5
Mavericks,Jazz,5
Bucks,Trail Blazers,-1
Thunder,Warriors,4
Magic,Hornets,3.5
Cavaliers,Pacers,-1
76ers,Knicks,-2.5
Raptors,Grizzlies,3
Nuggets,Timberwolves,14.5
Kings,Pelicans,0.5
Lakers,Pelicans,3
Wizards,Nets,-0.5
Clippers,Knicks,2
Suns,Pistons,-3
Rockets,Thunder,10.5
Heat,Bucks,4.5
Trail Blazers,Bulls,3.5
Mavericks,Warriors,6.5
Hawks,Nuggets,8.5
Hornets,Pistons,1.5
Trail Blazers,Wizards,4.5
Kings,Pacers,#N/A
Suns,Celtics,9.5
Magic,Timberwolves,7
76ers,Spurs,-9
Raptors,Rockets,-7
Hawks,Jazz,3
Lakers,Pacers,2.5
Grizzlies,Cavaliers,4.5
Heat,Knicks,-1
Hornets,Bulls,5.5
Pelicans,Mavericks,5
Warriors,Nuggets,6.5
Clippers,Bucks,4.5
Magic,76ers,9
Trail Blazers,Grizzlies,7.5
Nets,Celtics,7.5
Warriors,Timberwolves,0.5
Thunder,Rockets,-4
Kings,Spurs,-4.5
Raptors,Jazz,3
Hawks,Suns,2.5
Heat,Cavaliers,2.5
Lakers,Knicks,6.5
Hornets,Bucks,9.5
Clippers,Bulls,0.5
Pelicans,Nuggets,8
Magic,76ers,10
Lakers,Nets,9
Warriors,Thunder,-0.5
Kings,Timberwolves,3
Wizards,Spurs,-4.5
Pistons,Mavericks,11
Raptors,Suns,1.5
Hawks,Trail Blazers,1.5
Heat,Hornets,-3.5
Pacers,Grizzlies,8
Clippers,Cavaliers,12
Pelicans,Bucks,8
Nuggets,76ers,2.5
Knicks,Nets,2
Bulls,Magic,-1.5
Rockets,Pistons,7
Clippers,Hawks,3
Suns,Spurs,-5
Kings,Timberwolves,2
Wizards,Pelicans,4.5
Lakers,Celtics,10
Mavericks,Jazz,6
Raptors,Trail Blazers,2
Bucks,Pacers,-2.5
Grizzlies,Timberwolves,#N/A
Cavaliers,Thunder,0.5
Magic,Heat,8.5
Raptors,Warriors,2
Bulls,Hornets,-1
Pistons,Nets,9
Knicks,Celtics,7
Cavaliers,Rockets,-8
Mavericks,Suns,1.5
Spurs,Clippers,14
Pacers,Magic,4.5
Nets,76ers,5
Hawks,Thunder,#N/A
Nuggets,Bucks,15
Timberwolves,Pelicans,2.5
Wizards,Rockets,-2
