"","Home ID","Away ID","Game_id","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"20",1610612748,1610612738,22200022,4,104,111,1,-7,11,12,0.457,0.519,0.307692308,0.424242424,8,4,108,126,6,8,8,6,61.5,51,5.5,5,5.5,5,4066,1610612740,1610612766,111,104,0.519,0.457,12,11,0.424242424,0.307692308,126,108,8,6,6,8,51,61.5,5,5.5,5,5.5
"21",1610612750,1610612762,22200025,4,126,132,6.5,-6,21,19,0.458,0.441,0.333333333,0.4,5,11,115,123,6,10,14,11,54,54,5,7.5,4.5,6,5657,1610612756,1610612757,132,126,0.441,0.458,19,21,0.4,0.333333333,123,115,10,6,11,14,54,54,7.5,5,6,4.5
"22",1610612751,1610612761,22200021,4,109,105,1.5,4,13,8,0.475,0.488,0.371428571,0.392857143,3,9,108,108,10,15,9,12,53.5,51,3.5,4,6,7,5459,1610612754,1610612759,105,109,0.488,0.475,8,13,0.392857143,0.371428571,108,108,15,10,12,9,51,53.5,4,3.5,7,6
"23",1610612752,1610612765,22200023,4,130,106,11,24,11,13,0.526,0.433,0.421052632,0.25,4,6,112,113,7,11,18,12,57,58,2.5,6,7,6,5161,1610612751,1610612761,106,130,0.433,0.526,13,11,0.25,0.421052632,113,112,11,7,12,18,58,57,6,2.5,6,7
"24",1610612754,1610612759,22200018,4,134,137,3.5,-3,14,7,0.49,0.543,0.314285714,0.548387097,8,9,107,102,7,8,12,14,57.5,53.5,5.5,2,5.5,4,5265,1610612752,1610612765,137,134,0.543,0.49,7,14,0.548387097,0.314285714,102,107,8,7,14,12,53.5,57.5,2,5.5,4,5.5
"25",1610612757,1610612756,22200027,4,113,111,-2,2,13,9,0.439,0.457,0.344827586,0.37037037,8,14,115,107,11,4,11,8,58.5,54.5,6,2.5,2,5,3848,1610612738,1610612748,111,113,0.457,0.439,9,13,0.37037037,0.344827586,107,115,4,11,8,11,54.5,58.5,2.5,6,5,2
"26",1610612764,1610612741,22200019,4,102,100,1.5,2,5,10,0.513,0.418,0.384615385,0.259259259,8,8,114,116,5,12,14,12,53.5,57.5,2,3,7.5,10,4344,1610612743,1610612744,100,102,0.418,0.513,10,5,0.259259259,0.384615385,116,114,12,5,12,14,57.5,53.5,3,2,10,7.5
"27",1610612766,1610612740,22200017,4,112,124,-1.5,-12,11,15,0.454,0.472,0.382352941,0.363636364,9,9,129,130,7,9,14,21,56,56.5,3.5,5.5,9,6,4563,1610612745,1610612763,124,112,0.472,0.454,15,11,0.363636364,0.382352941,130,129,9,7,21,14,56.5,56,5.5,3.5,6,9
"28",1610612741,1610612739,22200032,5,96,128,0.5,-32,10,8,0.405,0.565,0.24137931,0.592592593,12,4,216,105,20,5,22,6,64.5,65,3.5,4.5,7,10.5,4658,1610612746,1610612758,128,96,0.565,0.405,8,10,0.592592593,0.24137931,105,216,5,20,6,22,65,64.5,4.5,3.5,10.5,7
"29",1610612742,1610612763,22200034,5,137,96,6,41,15,6,0.5,0.43,0.435897436,0.272727273,7,4,105,244,6,14,5,37,70.66666667,71,4.666666667,8,6.333333333,6.666666667,4263,1610612742,1610612763,137,96,0.5,0.43,15,6,0.435897436,0.272727273,105,244,6,14,5,37,70.66666667,71,4.666666667,8,6.333333333,6.666666667
"30",1610612743,1610612760,22200035,5,122,117,12,5,9,10,0.494,0.447,0.526315789,0.394736842,5,10,230,108,20,6,22,16,68.33333333,79.66666667,4.666666667,5.666666667,3.333333333,7,3941,1610612739,1610612741,117,122,0.447,0.494,10,9,0.394736842,0.526315789,108,230,6,20,16,22,79.66666667,68.33333333,5.666666667,4.666666667,7,3.333333333
"31",1610612748,1610612761,22200031,5,112,109,4,3,6,8,0.5,0.425,0.366666667,0.358974359,2,9,212,213,14,24,19,20,76.66666667,54,6.666666667,3,7.333333333,8,4549,1610612745,1610612749,109,112,0.425,0.5,8,6,0.358974359,0.366666667,213,212,24,14,20,19,54,76.66666667,3,6.666666667,8,7.333333333
