player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2014,981,-2.59826540689001,.5563918958749758,-2.041873511015035,1.56422765691111,-3.928942936297071,-2.364715279385962,-1.903461303502969,-.3519710782102604,-2.255432381713229,.2453401043658769,.2453401043658769,0,-2.353779992130221,-.1654156224957817,-2.519195614626003,-.8948796583727265
Steven Adams,adamsst01,2023,2391,1133,-.6207638989625817,3.951108302224474,3.330344403261892,4.857479483812816,-1.229190332489497,3.628289151323319,.4876412958953593,3.048074669264959,3.535715965160319,3.641962526136449,3.641962526136449,0,.105169844343198,3.4419883615433,3.547158205886497,.2351514977227222
Bam Adebayo,adebaba01,2023,4631,2282,-1.88049339387846,2.861430694553081,.9809373006746213,3.070086656667894,2.006830252917191,5.076916909585085,-.9061902979532737,2.838996080354238,1.932805782400964,5.432689409910166,5.432689409910166,0,-.6672103290001202,2.89860302940305,2.231392700402929,-.3590763921267671
Ochai Agbaji,agbajoc01,2023,1732,808,-1.473615614332074,-2.182412370531248,-3.656027984863321,.5673750751387364,-.3339094344111442,.2334656407275922,-1.163782678342312,-1.903517405268617,-3.067300083610929,-.1307127952288441,-.1307127952288441,0,-1.506582947653513,-2.628074659079564,-4.134657606733077,-.070623013621392
Santi Aldama,aldamsa01,2023,3034,1411,-1.22946473477503,.2339094288367798,-.9955553059382507,-.697815207371364,-1.260961055108147,-1.958776262479511,-1.195090310891537,-.1316359681905864,-1.326726279082123,1.026186796827908,1.026186796827908,0,-1.101940866744578,.8254545325664827,-.2764863341780958,.1559974639604621
Nickeil Alexander-Walker,alexani01,2023,1487,698,.6979560252805117,2.933311524014202,3.631267549294714,-2.333565826992757,1.282864608345328,-1.050701218647429,.0908991582036226,2.793122173944734,2.884021332148357,2.020402904961973,2.020402904961973,0,.4987859446430124,1.895125799172173,2.393911743815185,.6072800409172376
Grayson Allen,allengr01,2023,3807,1783,.0043113371611387,.0157271647672705,.0200385019284092,.8936690159405493,-1.914294270500334,-1.020625254559785,.1928490105195758,-.4498313523444696,-.2569823418248938,2.276567986020342,2.276567986020342,0,.3967168513025233,-.0834977416390266,.3132191096634966,.3874498824512033
Jarrett Allen,allenja01,2023,4117,2048,-1.483482932139285,1.871367482023793,.3878845498845083,3.1739210082267,1.885285068495126,5.059206076721826,-.6182198173122552,1.924561668999086,1.306341851686831,4.217549320439219,4.217549320439219,0,-.1151740907296554,2.622119836868205,2.50694574613855,-.4973702303861371
Jose Alvarado,alvarjo01,2023,2778,1310,-.0280297528718453,1.183277931505118,1.155248178633273,.1525717026436458,4.024847799736384,4.17741950238003,.0163393421048433,1.826917732300478,1.843257074405321,3.077976893788803,3.077976893788803,0,-.1528299390157833,1.843944519324652,1.691114580308869,.263698699265028
Kyle Anderson,anderky01,2023,3215,1512,-.1479247992899563,1.840861009491901,1.692936210201944,1.735667983100999,3.034479507057306,4.770147490158305,.2503365018387974,2.193030406898792,2.443366908737589,3.996240459342741,3.996240459342741,0,-.2892010351935212,1.853969592090783,1.564768556897261,-.2529915694980778
Giannis Antetokounmpo,antetgi01,2023,3788,1758,3.777788131240723,2.435550072228184,6.213338203468908,2.216808606922323,3.060040762643684,5.276849369566007,3.666780330835155,2.65318461121366,6.319964942048815,8.272459913155158,8.272459913155158,0,3.482760327246254,1.944790506222088,5.427550833468342,1.704223958266969
Thanasis Antetokounmpo,antetth01,2023,243,112,-9.406841193802213,-2.991231237130435,-12.39807243093265,-11.93946650086293,-7.002682734837876,-18.9421492357008,-10.50228606590263,-4.068692960387147,-14.57097902628978,-.6704571007549626,-.6704571007549626,0,-9.476186081293426,-5.130749846825005,-14.60693592811843,-.7506163731465844
Cole Anthony,anthoco01,2023,2580,1241,1.517565384544631,-.7378872071245627,.7796781774200682,1.902911883823172,-1.10632768501771,.7965841988054624,1.725769341306751,-.8480243318599257,.8777450094468258,2.278277793435772,2.278277793435772,0,1.306781800508554,-.9924265049628885,.3143552955456659,-.8201340350926533
O.G. Anunoby,anunoog01,2023,4050,1971,-1.374749958833769,2.001072520522521,.6263225616887519,-.8001254302255791,2.431302720525376,1.631177290299797,-1.345370761744036,2.213423509067953,.8680527473239177,3.660344997108394,3.660344997108394,0,-.5479696146612338,2.950618053693729,2.402648439032496,.6109250185808334
